SAMPID  ,   SMATSSCR  ,  SMCENTER  ,  SMPTHNTS  ,  SMRIN
GTEX-O5YT-1326-SM-3MJGR  ,   0  ,  B1  ,  3  ,  pieces;
GTEX-O5YT-1426-SM-3MJHC  ,   1  ,  B1  ,  sloughed  ,  mucosa
GTEX-O5YT-1626-SM-32PK6  ,   0  ,  B1  ,  1  ,  piece
GTEX-O5YT-1726-SM-3NMD7  ,   0  ,  B1  ,  2  ,  pieces;
GTEX-O5YT-1826-SM-32PK9  ,   0  ,  B1  ,  2  ,  pieces;
GTEX-O5YT-2126-SM-3MJGD  ,   1  ,  B1  ,  2  ,  pieces
GTEX-O5YV-0004-SM-2BWZ5  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-O5YV-0004-SM-2XJZR  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-O5YV-0006-SM-2AXVG  ,   C1  ,  8.7  ,  Blood  ,  Whole
GTEX-O5YV-0006-SM-2I5GX  ,   C1  ,  8.7  ,  Blood  ,  Whole
GTEX-O5YV-0326-SM-2AXWH  ,   0  ,  C1  ,  10x8  ,  mm;
GTEX-O5YV-0326-SM-2I5H2  ,   0  ,  C1  ,  10x8  ,  mm;
GTEX-O5YV-0426-SM-3LK66  ,   0  ,  C1  ,  20%  ,  adipose
